date,count
2016-01-01,1
2016-01-02,3
2016-01-03,1
2016-01-04,2
2016-01-05,6
2016-01-06,3
2016-01-08,2
2016-01-10,2
2016-01-11,4
2016-01-12,2
2016-01-13,2
2016-01-14,2
2016-01-15,2
2016-01-16,6
2016-01-17,5
2016-01-18,5
2016-01-19,3
2016-01-20,3
2016-01-21,1
2016-01-23,1
2016-01-25,1
2016-01-26,1
2016-01-27,8
2016-01-28,3
2016-01-29,3
2016-01-30,4
2016-01-31,5
2016-02-01,2
2016-02-02,1
2016-02-03,3
2016-02-04,5
2016-02-05,4
2016-02-06,1
2016-02-07,3
2016-02-08,3
2016-02-09,2
2016-02-10,5
2016-02-11,3
2016-02-12,3
2016-02-13,4
2016-02-14,3
2016-02-15,2
2016-02-16,3
2016-02-17,1
2016-02-18,4
2016-02-19,2
2016-02-20,4
2016-02-21,5
2016-02-22,4
2016-02-23,4
2016-02-24,5
2016-02-25,4
2016-02-26,2
2016-02-27,1
2016-02-28,2
2016-02-29,1
2016-03-01,3
2016-03-02,2
2016-03-03,1
2016-03-04,2
2016-03-05,2
2016-03-06,3
2016-03-07,5
2016-03-08,1
2016-03-10,5
2016-03-11,4
2016-03-12,3
2016-03-13,7
2016-03-14,1
2016-03-15,3
2016-03-16,3
2016-03-17,4
2016-03-18,2
2016-03-19,4
2016-03-20,4
2016-03-21,3
2016-03-22,2
2016-03-23,3
2016-03-24,6
2016-03-26,4
2016-03-27,5
2016-03-29,3
2016-03-30,3
2016-03-31,4
2016-04-01,2
2016-04-02,1
2016-04-03,4
2016-04-04,1
2016-04-05,2
2016-04-06,3
2016-04-07,2
2016-04-08,3
2016-04-09,2
2016-04-10,3
2016-04-11,2
2016-04-12,3
2016-04-13,3
2016-04-14,1
2016-04-15,3
2016-04-16,1
2016-04-17,5
2016-04-18,2
2016-04-19,3
2016-04-20,2
2016-04-21,1
2016-04-22,2
2016-04-23,5
2016-04-25,1
2016-04-26,4
2016-04-27,3
2016-04-28,4
2016-04-29,1
2016-04-30,4
2016-05-01,2
2016-05-02,1
2016-05-03,1
2016-05-04,4
2016-05-05,3
2016-05-06,1
2016-05-07,3
2016-05-08,1
2016-05-09,6
2016-05-10,1
2016-05-11,4
2016-05-13,1
2016-05-14,4
2016-05-15,1
2016-05-16,1
2016-05-17,1
2016-05-18,3
2016-05-19,5
2016-05-20,1
2016-05-21,3
2016-05-22,4
2016-05-23,1
2016-05-24,3
2016-05-25,2
2016-05-26,7
2016-05-27,1
2016-05-28,2
2016-05-29,4
2016-05-30,2
2016-05-31,1
2016-06-01,3
2016-06-02,2
2016-06-03,2
2016-06-04,3
2016-06-05,1
2016-06-06,2
2016-06-07,4
2016-06-08,1
2016-06-09,5
2016-06-10,4
2016-06-11,2
2016-06-12,3
2016-06-13,4
2016-06-14,4
2016-06-15,2
2016-06-16,4
2016-06-18,3
2016-06-19,2
2016-06-20,2
2016-06-21,3
2016-06-22,6
2016-06-23,3
2016-06-24,5
2016-06-25,4
2016-06-26,4
2016-06-27,5
2016-06-28,2
2016-06-29,4
2016-06-30,3
2016-07-01,3
2016-07-02,2
2016-07-03,3
2016-07-04,4
2016-07-05,4
2016-07-06,2
2016-07-07,3
2016-07-08,1
2016-07-09,1
2016-07-10,1
2016-07-11,5
2016-07-12,1
2016-07-13,2
2016-07-14,1
2016-07-15,1
2016-07-16,3
2016-07-17,4
2016-07-18,1
2016-07-20,1
2016-07-21,2
2016-07-22,1
2016-07-23,3
2016-07-24,2
2016-07-25,2
2016-07-26,2
2016-07-27,6
2016-07-28,6
2016-07-29,2
2016-07-31,3
2016-08-01,4
2016-08-02,5
2016-08-03,3
2016-08-05,4
2016-08-07,2
2016-08-08,5
2016-08-09,3
2016-08-11,3
2016-08-12,2
2016-08-13,4
2016-08-15,2
2016-08-16,7
2016-08-17,1
2016-08-18,7
2016-08-19,5
2016-08-20,1
2016-08-21,1
2016-08-22,1
2016-08-23,1
2016-08-24,3
2016-08-25,3
2016-08-26,1
2016-08-27,3
2016-08-28,1
2016-08-29,4
2016-08-30,4
2016-08-31,2
2016-09-01,4
2016-09-02,4
2016-09-03,4
2016-09-04,2
2016-09-05,2
2016-09-06,5
2016-09-07,3
2016-09-08,2
2016-09-09,3
2016-09-10,2
2016-09-11,1
2016-09-12,3
2016-09-14,1
2016-09-15,3
2016-09-16,4
2016-09-17,5
2016-09-18,1
2016-09-19,3
2016-09-20,6
2016-09-21,1
2016-09-23,3
2016-09-25,1
2016-09-26,4
2016-09-27,2
2016-09-28,2
2016-09-29,1
2016-09-30,6
2016-10-01,2
2016-10-02,2
2016-10-03,2
2016-10-04,3
2016-10-05,2
2016-10-07,5
2016-10-08,4
2016-10-09,2
2016-10-10,4
2016-10-11,2
2016-10-12,3
2016-10-13,3
2016-10-14,3
2016-10-15,1
2016-10-16,2
2016-10-17,3
2016-10-18,4
2016-10-19,3
2016-10-20,1
2016-10-21,2
2016-10-22,1
2016-10-23,3
2016-10-24,1
2016-10-25,4
2016-10-26,2
2016-10-27,3
2016-10-28,3
2016-10-30,4
2016-10-31,3
2016-11-01,1
2016-11-02,2
2016-11-03,3
2016-11-04,2
2016-11-05,5
2016-11-06,6
2016-11-07,1
2016-11-08,4
2016-11-09,1
2016-11-10,2
2016-11-11,4
2016-11-12,2
2016-11-13,3
2016-11-15,3
2016-11-16,2
2016-11-18,5
2016-11-19,4
2016-11-20,2
2016-11-21,2
2016-11-22,4
2016-11-23,3
2016-11-24,1
2016-11-25,3
2016-11-26,1
2016-11-27,4
2016-11-28,3
2016-11-29,4
2016-11-30,1
2016-12-01,3
2016-12-02,3
2016-12-03,1
2016-12-04,2
2016-12-06,4
2016-12-07,5
2016-12-08,1
2016-12-09,3
