City,Poverty,Income,Murders,share_white,share_black,share_asian,share_hispanic,
Los Angeles,22.1,50205,39,6,10,1,19,36
Bakersfield,19.8,57095,13,5,0,0,8,13
Fresno,29.8,41531,11,4,0,0,7,11
Long Beach,20.6,52783,11,1,2,3,3,9
San Francisco,13.2,81294,11,5,2,0,4,11
San Jose,11.3,84647,11,3,1,0,5,9
Houston,22.5,25234,26,3,15,1,6,25
San Antonio,19.8,31458,20,3,3,0,12,18
Austin,18,102917,16,11,3,0,2,16
Dallas,24,41354,9,5,2,0,1,8
Fort Worth,18.8,32060,8,3,2,0,3,8
El Paso,20.9,32917,7,1,2,0,4,7
Miami,28.3,44342,17,2,8,0,6,16
Jacksonville,17.7,62229,11,3,8,0,0,11
Orlando,20.2,34284,9,2,4,0,2,8
Douglas,9.2,97738,2,1,0,0,2,3
Casper,10.5,51308,2,2,0,0,0,2
Seattle,13.5,66020,6,2,3,1,0,6
Tacoma,18,55439,4,2,1,0,0,3
Vancouver,14.8,41750,4,3,0,0,0,3
Spokane,19.9,32011,4,3,0,0,0,3
Billings,14.2,53357,4,4,0,0,0,4
Portland,18,57632,7,3,0,0,0,3
Medford,23,46314,3,2,0,0,0,2
Beaverton,15.4,57068,3,3,0,0,0,3
Boise,14.3,35000,5,3,0,0,2,5
Las Vegas,17.5,58432,21,9,3,0,5,17
Reno,18.3,25741,8,2,1,0,5,8
North Las Vegas,16.6,46655,3,0,1,0,1,2
Salt Lake City,20.3,86250,4,2,0,0,1,3
West Jordan,9.1,26250,2,2,0,0,0,2
Spanish Fork,7.1,82097,2,2,0,0,0,2
Phoenix,23.1,47326,14,12,2,0,11,25
Tuscon,25.3,37149,14,4,1,0,9,14
Glendale,21.7,46776,7,3,0,0,4,7
Omaha,16.7,56591,8,6,2,0,0,8
Lincoln ,15.9,50536,3,2,1,0,0,3
Wichita,17.3,120000,4,3,0,0,1,4
Oklahoma City,18.3,51023,14,4,6,0,3,13
Tulsa,20.2,71902,12,7,3,1,1,12
Little Rock ,17.8,46085,4,3,1,0,0,4
Benton,11.4,51778,2,2,0,0,0,2
Fayetteville,18.4,44514,2,0,1,0,0,1
Baton Rouge,25.6,105345,8,0,8,0,0,8
New Orleans,27,30278,7,1,6,0,0,7
Shreveport,23.6,77656,3,0,3,0,0,3
Houma,20.9,39245,3,2,0,0,0,2
Huntsville ,18.2,48775,4,2,1,0,0,3
Phenix City,21,36698,4,2,1,0,0,3
Birmingham,30.9,31061,3,1,2,0,0,3
Atlanta,24.6,46830,7,0,6,1,0,7
Valdosta,35,36077,3,1,1,0,1,3
Chicago,22.3,45458,25,2,21,0,1,24
Bellveille,18.2,52604,2,0,1,0,0,1
Zion,19.2,50625,2,1,1,0,0,2
Metropolis,23,43750,2,2,0,0,0,2
Columbus,36.5,51563,2,5,10,0,0,15
Cincinnati,30.5,34306,5,1,4,0,0,5
Akron,26.5,50750,4,1,1,0,0,2
Cleveland,36.2,44982,5,1,3,0,0,4
Nashville,18.2,21288,5,2,2,0,1,5
Memphis,27.6,25000,5,1,3,0,1,5
Chattanooga,22.6,46947,4,2,1,0,0,3
Norfolk,21,35870,7,2,3,0,0,5
Richmond,25.5,66649,4,1,3,0,0,4
Philadelphia,26.4,55833,9,1,8,0,0,9
Chester,34.6,36165,3,1,2,0,0,3
Iuka,20.9,28702,2,2,0,0,0,2
Southaven,11.4,45240,2,0,1,0,1,2
Columbus,21.7,33396,2,1,1,0,0,2
Tupelo,23.3,29688,2,0,2,0,0,2
Water Valley,26.5,54444,2,1,0,0,0,1
Vassalboro,34.7,96500,2,2,0,0,0,2
Presque Isle,21,53715,2,1,0,0,0,1
Burlington,5.2,56302,2,2,0,0,0,2
Boston,21.5,44728,5,0,4,0,1,5
Lynn,20.2,102993,4,2,1,0,1,4
Baltimore,23.7,41500,8,0,8,0,0,8
Elkton,27.4,54964,3,2,1,0,0,3
Milwaukee,28.7,51721,7,1,6,0,0,7
Eau Claire,18.7,38875,4,4,0,0,0,4
Detroit,40.3,42000,5,1,4,0,0,5
Dearborn,17.7,41853,2,0,2,0,0,2
Kentwood,14.6,28695,2,1,1,0,0,2
Wyoming ,2.2,24133,2,1,1,0,0,2
St. Louis,27.1,46846,15,3,11,0,0,14
Kansas City,19,35536,10,3,5,0,1,9
Springfield,28.4,43750,4,3,1,0,0,4
Indianapolis,21.3,49653,14,5,9,0,0,14
Fort Wayne,19,42241,4,3,0,0,1,4
Muncie,32.2,48918,3,3,0,0,0,3
Louisville,43.3,56477,6,4,2,0,0,6
Elizabethtown,35.8,49479,2,1,1,0,0,2
Owensboro,19.8,37109,3,1,1,0,0,2
