name,parent,value1,value2
root,,,
White,root,,
Black,root,,
Asian,root,,
Hispanic,root,,
Los Angeles,White,6,36
Bakersfield,White,5,13
Fresno,White,4,11
Long Beach,White,1,9
San Francisco,White,5,11
San Jose,White,3,9
Houston,White,3,25
San Antonio,White,3,18
Austin,White,11,16
Dallas,White,5,8
Fort Worth,White,3,8
El Paso,White,1,7
Miami,White,2,16
Jacksonville,White,3,11
Orlando,White,2,8
Douglas,White,1,3
Casper,White,2,2
Seattle,White,2,6
Tacoma,White,2,3
Vancouver,White,3,3
Spokane,White,3,3
Billings,White,4,4
Portland,White,3,3
Medford,White,2,2
Beaverton,White,3,3
Boise,White,3,5
Las Vegas,White,9,17
Reno,White,2,8
North Las Vegas,White,0,2
Salt Lake City,White,2,3
West Jordan,White,2,2
Spanish Fork,White,2,2
Phoenix,White,12,25
Tuscon,White,4,14
Glendale,White,3,7
Omaha,White,6,8
Lincoln ,White,2,3
Wichita,White,3,4
Oklahoma City,White,4,13
Tulsa,White,7,12
Little Rock ,White,3,4
Benton,White,2,2
Fayetteville,White,0,1
Baton Rouge,White,0,8
New Orleans,White,1,7
Shreveport,White,0,3
Houma,White,2,2
Huntsville ,White,2,3
Phenix City,White,2,3
Brimmingham,White,1,3
Atlanta,White,0,7
Valdosta,White,1,3
Chicago,White,2,24
Bellveille,White,0,1
Zion,White,1,2
Metropolis,White,2,2
Columbus,White,5,15
Cincinnati,White,1,5
Akron,White,1,2
Cleveland,White,1,4
Nashville,White,2,5
Memphis,White,1,5
Chattanooga,White,2,3
Norfold,White,2,5
Richmond,White,1,4
Philadelphia,White,1,9
Chester,White,1,3
Iuka,White,2,2
Southaven,White,0,2
Columbus,White,1,2
Tupelo,White,0,2
Water Valley,White,1,1
Vassalboro,White,2,2
Presque Isle,White,1,1
Burlington,White,2,2
Boston,White,0,5
Lynn,White,2,4
Baltimore,White,0,8
Elkton,White,2,3
Milwaukee,White,1,7
Eau Claire,White,4,4
Detroit,White,1,5
Dearborn,White,0,2
Kentwood,White,1,2
Wyoming ,White,1,2
St. Louis,White,3,14
Kansas City,White,3,9
Springfield,White,3,4
Indianapolis,White,5,14
Fort Wayne,White,3,4
Muncie,White,3,3
Louisville,White,4,6
Elizabethtown,White,1,2
Ownsboro,White,1,2
Los Angeles,Black,10,36
Bakersfield,Black,0,13
Fresno,Black,0,11
Long Beach,Black,2,9
San Francisco,Black,2,11
San Jose,Black,1,9
Houston,Black,15,25
San Antonio,Black,3,18
Austin,Black,3,16
Dallas,Black,2,8
Fort Worth,Black,2,8
El Paso,Black,2,7
Miami,Black,8,16
Jacksonville,Black,8,11
Orlando,Black,4,8
Douglas,Black,0,3
Casper,Black,0,2
Seattle,Black,3,6
Tacoma,Black,1,3
Vancouver,Black,0,3
Spokane,Black,0,3
Billings,Black,0,4
Portland,Black,0,3
Medford,Black,0,2
Beaverton,Black,0,3
Boise,Black,0,5
Las Vegas,Black,3,17
Reno,Black,1,8
North Las Vegas,Black,1,2
Salt Lake City,Black,0,3
West Jordan,Black,0,2
Spanish Fork,Black,0,2
Phoenix,Black,2,25
Tuscon,Black,1,14
Glendale,Black,0,7
Omaha,Black,2,8
Lincoln ,Black,1,3
Wichita,Black,0,4
Oklahoma City,Black,6,13
Tulsa,Black,3,12
Little Rock ,Black,1,4
Benton,Black,0,2
Fayetteville,Black,1,1
Baton Rouge,Black,8,8
New Orleans,Black,6,7
Shreveport,Black,3,3
Houma,Black,0,2
Huntsville ,Black,1,3
Phenix City,Black,1,3
Brimmingham,Black,2,3
Atlanta,Black,6,7
Valdosta,Black,1,3
Chicago,Black,21,24
Bellveille,Black,1,1
Zion,Black,1,2
Metropolis,Black,0,2
Columbus,Black,10,15
Cincinnati,Black,4,5
Akron,Black,1,2
Cleveland,Black,3,4
Nashville,Black,2,5
Memphis,Black,3,5
Chattanooga,Black,1,3
Norfold,Black,3,5
Richmond,Black,3,4
Philadelphia,Black,8,9
Chester,Black,2,3
Iuka,Black,0,2
Southaven,Black,1,2
Columbus,Black,1,2
Tupelo,Black,2,2
Water Valley,Black,0,1
Vassalboro,Black,0,2
Presque Isle,Black,0,1
Burlington,Black,0,2
Boston,Black,4,5
Lynn,Black,1,4
Baltimore,Black,8,8
Elkton,Black,1,3
Milwaukee,Black,6,7
Eau Claire,Black,0,4
Detroit,Black,4,5
Dearborn,Black,2,2
Kentwood,Black,1,2
Wyoming ,Black,1,2
St. Louis,Black,11,14
Kansas City,Black,5,9
Springfield,Black,1,4
Indianapolis,Black,9,14
Fort Wayne,Black,0,4
Muncie,Black,0,3
Louisville,Black,2,6
Elizabethtown,Black,1,2
Ownsboro,Black,1,2
Los Angeles,Asian,1,36
Bakersfield,Asian,0,13
Fresno,Asian,0,11
Long Beach,Asian,3,9
San Francisco,Asian,0,11
San Jose,Asian,0,9
Houston,Asian,1,25
San Antonio,Asian,0,18
Austin,Asian,0,16
Dallas,Asian,0,8
Fort Worth,Asian,0,8
El Paso,Asian,0,7
Miami,Asian,0,16
Jacksonville,Asian,0,11
Orlando,Asian,0,8
Douglas,Asian,0,3
Casper,Asian,0,2
Seattle,Asian,1,6
Tacoma,Asian,0,3
Vancouver,Asian,0,3
Spokane,Asian,0,3
Billings,Asian,0,4
Portland,Asian,0,3
Medford,Asian,0,2
Beaverton,Asian,0,3
Boise,Asian,0,5
Las Vegas,Asian,0,17
Reno,Asian,0,8
North Las Vegas,Asian,0,2
Salt Lake City,Asian,0,3
West Jordan,Asian,0,2
Spanish Fork,Asian,0,2
Phoenix,Asian,0,25
Tuscon,Asian,0,14
Glendale,Asian,0,7
Omaha,Asian,0,8
Lincoln ,Asian,0,3
Wichita,Asian,0,4
Oklahoma City,Asian,0,13
Tulsa,Asian,1,12
Little Rock ,Asian,0,4
Benton,Asian,0,2
Fayetteville,Asian,0,1
Baton Rouge,Asian,0,8
New Orleans,Asian,0,7
Shreveport,Asian,0,3
Houma,Asian,0,2
Huntsville ,Asian,0,3
Phenix City,Asian,0,3
Brimmingham,Asian,0,3
Atlanta,Asian,1,7
Valdosta,Asian,0,3
Chicago,Asian,0,24
Bellveille,Asian,0,1
Zion,Asian,0,2
Metropolis,Asian,0,2
Columbus,Asian,0,15
Cincinnati,Asian,0,5
Akron,Asian,0,2
Cleveland,Asian,0,4
Nashville,Asian,0,5
Memphis,Asian,0,5
Chattanooga,Asian,0,3
Norfold,Asian,0,5
Richmond,Asian,0,4
Philadelphia,Asian,0,9
Chester,Asian,0,3
Iuka,Asian,0,2
Southaven,Asian,0,2
Columbus,Asian,0,2
Tupelo,Asian,0,2
Water Valley,Asian,0,1
Vassalboro,Asian,0,2
Presque Isle,Asian,0,1
Burlington,Asian,0,2
Boston,Asian,0,5
Lynn,Asian,0,4
Baltimore,Asian,0,8
Elkton,Asian,0,3
Milwaukee,Asian,0,7
Eau Claire,Asian,0,4
Detroit,Asian,0,5
Dearborn,Asian,0,2
Kentwood,Asian,0,2
Wyoming ,Asian,0,2
St. Louis,Asian,0,14
Kansas City,Asian,0,9
Springfield,Asian,0,4
Indianapolis,Asian,0,14
Fort Wayne,Asian,0,4
Muncie,Asian,0,3
Louisville,Asian,0,6
Elizabethtown,Asian,0,2
Ownsboro,Asian,0,2
Los Angeles,Hispanic,19,36
Bakersfield,Hispanic,8,13
Fresno,Hispanic,7,11
Long Beach,Hispanic,3,9
San Francisco,Hispanic,4,11
San Jose,Hispanic,5,9
Houston,Hispanic,6,25
San Antonio,Hispanic,12,18
Austin,Hispanic,2,16
Dallas,Hispanic,1,8
Fort Worth,Hispanic,3,8
El Paso,Hispanic,4,7
Miami,Hispanic,6,16
Jacksonville,Hispanic,0,11
Orlando,Hispanic,2,8
Douglas,Hispanic,2,3
Casper,Hispanic,0,2
Seattle,Hispanic,0,6
Tacoma,Hispanic,0,3
Vancouver,Hispanic,0,3
Spokane,Hispanic,0,3
Billings,Hispanic,0,4
Portland,Hispanic,0,3
Medford,Hispanic,0,2
Beaverton,Hispanic,0,3
Boise,Hispanic,2,5
Las Vegas,Hispanic,5,17
Reno,Hispanic,5,8
North Las Vegas,Hispanic,1,2
Salt Lake City,Hispanic,1,3
West Jordan,Hispanic,0,2
Spanish Fork,Hispanic,0,2
Phoenix,Hispanic,11,25
Tuscon,Hispanic,9,14
Glendale,Hispanic,4,7
Omaha,Hispanic,0,8
Lincoln ,Hispanic,0,3
Wichita,Hispanic,1,4
Oklahoma City,Hispanic,3,13
Tulsa,Hispanic,1,12
Little Rock ,Hispanic,0,4
Benton,Hispanic,0,2
Fayetteville,Hispanic,0,1
Baton Rouge,Hispanic,0,8
New Orleans,Hispanic,0,7
Shreveport,Hispanic,0,3
Houma,Hispanic,0,2
Huntsville ,Hispanic,0,3
Phenix City,Hispanic,0,3
Brimmingham,Hispanic,0,3
Atlanta,Hispanic,0,7
Valdosta,Hispanic,1,3
Chicago,Hispanic,1,24
Bellveille,Hispanic,0,1
Zion,Hispanic,0,2
Metropolis,Hispanic,0,2
Columbus,Hispanic,0,15
Cincinnati,Hispanic,0,5
Akron,Hispanic,0,2
Cleveland,Hispanic,0,4
Nashville,Hispanic,1,5
Memphis,Hispanic,1,5
Chattanooga,Hispanic,0,3
Norfold,Hispanic,0,5
Richmond,Hispanic,0,4
Philadelphia,Hispanic,0,9
Chester,Hispanic,0,3
Iuka,Hispanic,0,2
Southaven,Hispanic,1,2
Columbus,Hispanic,0,2
Tupelo,Hispanic,0,2
Water Valley,Hispanic,0,1
Vassalboro,Hispanic,0,2
Presque Isle,Hispanic,0,1
Burlington,Hispanic,0,2
Boston,Hispanic,1,5
Lynn,Hispanic,1,4
Baltimore,Hispanic,0,8
Elkton,Hispanic,0,3
Milwaukee,Hispanic,0,7
Eau Claire,Hispanic,0,4
Detroit,Hispanic,0,5
Dearborn,Hispanic,0,2
Kentwood,Hispanic,0,2
Wyoming ,Hispanic,0,2
St. Louis,Hispanic,0,14
Kansas City,Hispanic,1,9
Springfield,Hispanic,0,4
Indianapolis,Hispanic,0,14
Fort Wayne,Hispanic,1,4
Muncie,Hispanic,0,3
Louisville,Hispanic,0,6
Elizabethtown,Hispanic,0,2
Ownsboro,Hispanic,0,2
